Tweet_count,Username,Text,Created At,Retweets,Likes
1,Elon Musk,Just wondering 🤔 https://t.co/LIWa7wPZHb,Mon Feb 03 15:05:31 +0000 2025,56407,354706
2,Elon Musk,https://t.co/r8SF9wRtrW,Mon Feb 03 21:56:14 +0000 2025,66762,361974
3,Elon Musk,https://t.co/QYyuXA4SUS,Tue Feb 04 03:53:09 +0000 2025,5013,40440
4,Elon Musk,🤨 https://t.co/7x0eAbB53l,Mon Feb 03 16:29:28 +0000 2025,29767,318687
5,Elon Musk,https://t.co/WioIBzgDPg,Mon Feb 03 16:32:50 +0000 2025,17842,171058
6,Elon Musk,Don’t mess with @DOGE https://t.co/wgdJBxNzyG,Tue Feb 04 04:47:05 +0000 2025,9736,68063
7,Elon Musk,https://t.co/SV79e3pYTk,Tue Feb 04 05:25:06 +0000 2025,5454,28507
8,Elon Musk,I take the short bus to work 😂,Tue Feb 04 04:17:40 +0000 2025,5874,57668
9,Elon Musk,"Reagan campaigned on ending the federal Dept of Education, which was created by Carter in 1979, but it was bigger when Reagan left office than when he started!

Not this time. President @realDonaldTrump will succeed. https://t.co/PO5MoqpBV1",Tue Feb 04 04:30:40 +0000 2025,7043,40078
10,Elon Musk,My preferred title is just ‘Tech Support’,Tue Feb 04 07:43:37 +0000 2025,1199,11151
11,Elon Musk,"The corrupt politicians “protesting” outside the USAID building are the ones getting money from USAID. 

That’s why they’re there – they want your stolen tax dollars!",Mon Feb 03 19:11:26 +0000 2025,60063,239021
12,Elon Musk,She’s a major grifter and hates America,Mon Feb 03 19:33:12 +0000 2025,36172,228900
13,Elon Musk,@Tim_Walz Bathroom need a refill https://t.co/xchSwvWDIh,Tue Feb 04 07:28:32 +0000 2025,115,1720
14,Elon Musk,Threatening or encouraging murder is a crime. Those who do so will go to prison.,Tue Feb 04 07:46:06 +0000 2025,1366,8655
15,Elon Musk,@PoleConnection Cześć,Sat Feb 01 14:01:21 +0000 2025,676,8928
16,Elon Musk,https://t.co/8G2qzg4G05,Tue Feb 04 04:45:37 +0000 2025,3881,16584
17,Elon Musk,https://t.co/e5igRaty32,Mon Feb 03 17:46:20 +0000 2025,26701,104995
18,Elon Musk,"Once again, the cycle repeats …",Tue Feb 04 07:21:28 +0000 2025,2006,12922
19,Elon Musk,Mind-blowing 🤯,Mon Feb 03 16:30:27 +0000 2025,50826,156551
20,Elon Musk,Yes,Tue Feb 04 07:34:55 +0000 2025,3091,22548
